comentario
🎅🎄
Allá nos veremos mañana.❤️❤️
"Felices Pascuas de Natividad, Próspero y Venturoso Año Nuevo! 🥳❤️🍺"
Muy original su arbol de navidad conteniendo en sí mismo el significado de la institución. Feliz Navidad para su director y todos los que laboran allí 🌺
👏👏👏👏👏
"Hola, cómo me puedo inscribir? no veo el formulario de inscripción."
Ubicación de formulario y costo por favor
"No veo el formulario, favor ayudarnos"
Que costo tiene?
Me interesa
Excelente. En espera del link.
Necesito el formulario
Interesada aqui! Me comparten el formulario?
Buenas noches! En espera del link
Precio?
No veo el formulario y realmente estoy interesada
"Buenas, por favor, envíenme el formulario."
"buenas tardes, como obtendremos el link para cpnectarnos por zoom? llené el formulario"
"Saludos, aun no me aceptan en el Zoom, estoy a la espera 🙌"
"Verificar el Zoom no se escucha, tenemos rato escribiendo."
